Z ==> 5:0,001:12
Monter après contact ==> 2000
Point de scan après sortir ==> 2000
Temps d'attendre ==> 30
Nombre acquis ==> 1
RF ==> 31842,8036
seuil de Fréquence ==> 0,300

Z	Frequency	Nothing	

5,001000e+000	3,184274e+004	
5,002000e+000	3,184279e+004	
5,003000e+000	3,184277e+004	
5,004000e+000	3,184279e+004	
5,005000e+000	3,184278e+004	
5,006000e+000	3,184277e+004	
5,007000e+000	3,184275e+004	
5,008000e+000	3,184275e+004	
5,009000e+000	3,184280e+004	
5,010000e+000	3,184277e+004	
5,011000e+000	3,184275e+004	
5,012000e+000	3,184275e+004	
5,013000e+000	3,184278e+004	
5,014000e+000	3,184280e+004	
5,015000e+000	3,184277e+004	
5,016000e+000	3,184277e+004	
5,017000e+000	3,184274e+004	
5,018000e+000	3,184274e+004	
5,019000e+000	3,184273e+004	
5,020000e+000	3,184279e+004	
5,021000e+000	3,184280e+004	
5,022000e+000	3,184277e+004	
5,023000e+000	3,184277e+004	
5,024000e+000	3,184273e+004	
5,025000e+000	3,184276e+004	
5,026000e+000	3,184279e+004	
5,027000e+000	3,184274e+004	
5,028000e+000	3,184277e+004	
5,029000e+000	3,184276e+004	
5,030000e+000	3,184277e+004	
5,031000e+000	3,184275e+004	
5,032000e+000	3,184279e+004	
5,033000e+000	3,184279e+004	
5,034000e+000	3,184274e+004	
5,035000e+000	3,184275e+004	
5,036000e+000	3,184276e+004	
5,037000e+000	3,184276e+004	
5,038000e+000	3,184278e+004	
5,039000e+000	3,184275e+004	
5,040000e+000	3,184276e+004	
5,041000e+000	3,184277e+004	
5,042000e+000	3,184275e+004	
5,043000e+000	3,184276e+004	
5,044000e+000	3,184277e+004	
5,045000e+000	3,184274e+004	
5,046000e+000	3,184271e+004	
5,047000e+000	3,184274e+004	
5,048000e+000	3,184276e+004	
5,049000e+000	3,184279e+004	
5,050000e+000	3,184277e+004	
5,051000e+000	3,184273e+004	
5,052000e+000	3,184273e+004	
5,053000e+000	3,184273e+004	
5,054000e+000	3,184272e+004	
5,055000e+000	3,184278e+004	
5,056000e+000	3,184278e+004	
5,057000e+000	3,184277e+004	
5,058000e+000	3,184275e+004	
5,059000e+000	3,184272e+004	
5,060000e+000	3,184277e+004	
5,061000e+000	3,184274e+004	
5,062000e+000	3,184277e+004	
5,063000e+000	3,184278e+004	
5,064000e+000	3,184276e+004	
5,065000e+000	3,184275e+004	
5,066000e+000	3,184278e+004	
5,067000e+000	3,184276e+004	
5,068000e+000	3,184277e+004	
5,069000e+000	3,184273e+004	
5,070000e+000	3,184276e+004	
5,071000e+000	3,184276e+004	
5,072000e+000	3,184277e+004	
5,073000e+000	3,184276e+004	
5,074000e+000	3,184275e+004	
5,075000e+000	3,184278e+004	
5,076000e+000	3,184276e+004	
5,077000e+000	3,184275e+004	
5,078000e+000	3,184278e+004	
5,079000e+000	3,184277e+004	
5,080000e+000	3,184278e+004	
5,081000e+000	3,184274e+004	
5,082000e+000	3,184274e+004	
5,083000e+000	3,184278e+004	
5,084000e+000	3,184278e+004	
5,085000e+000	3,184277e+004	
5,086000e+000	3,184277e+004	
5,087000e+000	3,184274e+004	
5,088000e+000	3,184276e+004	
5,089000e+000	3,184274e+004	
5,090000e+000	3,184278e+004	
5,091000e+000	3,184277e+004	
5,092000e+000	3,184277e+004	
5,093000e+000	3,184274e+004	
5,094000e+000	3,184272e+004	
5,095000e+000	3,184276e+004	
5,096000e+000	3,184280e+004	
5,097000e+000	3,184276e+004	
5,098000e+000	3,184276e+004	
5,099000e+000	3,184275e+004	
5,100000e+000	3,184276e+004	
5,101000e+000	3,184275e+004	
5,102000e+000	3,184273e+004	
5,103000e+000	3,184275e+004	
5,104000e+000	3,184279e+004	
5,105000e+000	3,184282e+004	
5,106000e+000	3,184276e+004	
5,107000e+000	3,184277e+004	
5,108000e+000	3,184274e+004	
5,109000e+000	3,184276e+004	
5,110000e+000	3,184276e+004	
5,111000e+000	3,184280e+004	
5,112000e+000	3,184278e+004	
5,113000e+000	3,184277e+004	
5,114000e+000	3,184272e+004	
5,115000e+000	3,184278e+004	
5,116000e+000	3,184279e+004	
5,117000e+000	3,184279e+004	
5,118000e+000	3,184280e+004	
5,119000e+000	3,184276e+004	
5,120000e+000	3,184273e+004	
5,121000e+000	3,184277e+004	
5,122000e+000	3,184277e+004	
5,123000e+000	3,184275e+004	
5,124000e+000	3,184277e+004	
5,125000e+000	3,184275e+004	
5,126000e+000	3,184279e+004	
5,127000e+000	3,184280e+004	
5,128000e+000	3,184281e+004	
5,129000e+000	3,184275e+004	
5,130000e+000	3,184275e+004	
5,131000e+000	3,184274e+004	
5,132000e+000	3,184283e+004	
5,133000e+000	3,184280e+004	
5,134000e+000	3,184278e+004	
5,135000e+000	3,184276e+004	
5,136000e+000	3,184276e+004	
5,137000e+000	3,184274e+004	
5,138000e+000	3,184276e+004	
5,139000e+000	3,184280e+004	
5,140000e+000	3,184276e+004	
5,141000e+000	3,184276e+004	
5,142000e+000	3,184274e+004	
5,143000e+000	3,184278e+004	
5,144000e+000	3,184280e+004	
5,145000e+000	3,184277e+004	
5,146000e+000	3,184274e+004	
5,147000e+000	3,184273e+004	
5,148000e+000	3,184272e+004	
5,149000e+000	3,184276e+004	
5,150000e+000	3,184277e+004	
5,151000e+000	3,184283e+004	
5,152000e+000	3,184279e+004	
5,153000e+000	3,184276e+004	
5,154000e+000	3,184272e+004	
5,155000e+000	3,184274e+004	
5,156000e+000	3,184279e+004	
5,157000e+000	3,184278e+004	
5,158000e+000	3,184279e+004	
5,159000e+000	3,184275e+004	
5,160000e+000	3,184276e+004	
5,161000e+000	3,184273e+004	
5,162000e+000	3,184274e+004	
5,163000e+000	3,184277e+004	
5,164000e+000	3,184277e+004	
5,165000e+000	3,184276e+004	
5,166000e+000	3,184275e+004	
5,167000e+000	3,184275e+004	
5,168000e+000	3,184280e+004	
5,169000e+000	3,184276e+004	
5,170000e+000	3,184272e+004	
5,171000e+000	3,184276e+004	
5,172000e+000	3,184278e+004	
5,173000e+000	3,184277e+004	
5,174000e+000	3,184279e+004	
5,175000e+000	3,184278e+004	
5,176000e+000	3,184277e+004	
5,177000e+000	3,184275e+004	
5,178000e+000	3,184272e+004	
5,179000e+000	3,184277e+004	
5,180000e+000	3,184278e+004	
5,181000e+000	3,184278e+004	
5,182000e+000	3,184276e+004	
5,183000e+000	3,184276e+004	
5,184000e+000	3,184275e+004	
5,185000e+000	3,184275e+004	
5,186000e+000	3,184276e+004	
5,187000e+000	3,184281e+004	
5,188000e+000	3,184277e+004	
5,189000e+000	3,184275e+004	
5,190000e+000	3,184273e+004	
5,191000e+000	3,184276e+004	
5,192000e+000	3,184279e+004	
5,193000e+000	3,184279e+004	
5,194000e+000	3,184279e+004	
5,195000e+000	3,184278e+004	
5,196000e+000	3,184278e+004	
5,197000e+000	3,184278e+004	
5,198000e+000	3,184275e+004	
5,199000e+000	3,184280e+004	
5,200000e+000	3,184277e+004	
5,201000e+000	3,184275e+004	
5,202000e+000	3,184275e+004	
5,203000e+000	3,184277e+004	
5,204000e+000	3,184277e+004	
5,205000e+000	3,184280e+004	
5,206000e+000	3,184279e+004	
5,207000e+000	3,184276e+004	
5,208000e+000	3,184275e+004	
5,209000e+000	3,184278e+004	
5,210000e+000	3,184281e+004	
5,211000e+000	3,184277e+004	
5,212000e+000	3,184279e+004	
5,213000e+000	3,184277e+004	
5,214000e+000	3,184278e+004	
5,215000e+000	3,184277e+004	
5,216000e+000	3,184276e+004	
5,217000e+000	3,184281e+004	
5,218000e+000	3,184278e+004	
5,219000e+000	3,184276e+004	
5,220000e+000	3,184276e+004	
5,221000e+000	3,184278e+004	
5,222000e+000	3,184279e+004	
5,223000e+000	3,184276e+004	
5,224000e+000	3,184277e+004	
5,225000e+000	3,184276e+004	
5,226000e+000	3,184277e+004	
5,227000e+000	3,184277e+004	
5,228000e+000	3,184279e+004	
5,229000e+000	3,184277e+004	
5,230000e+000	3,184274e+004	
5,231000e+000	3,184274e+004	
5,232000e+000	3,184278e+004	
5,233000e+000	3,184281e+004	
5,234000e+000	3,184280e+004	
5,235000e+000	3,184278e+004	
5,236000e+000	3,184276e+004	
5,237000e+000	3,184277e+004	
5,238000e+000	3,184275e+004	
5,239000e+000	3,184280e+004	
5,240000e+000	3,184277e+004	
5,241000e+000	3,184277e+004	
5,242000e+000	3,184273e+004	
5,243000e+000	3,184278e+004	
5,244000e+000	3,184277e+004	
5,245000e+000	3,184280e+004	
5,246000e+000	3,184275e+004	
5,247000e+000	3,184276e+004	
5,248000e+000	3,184275e+004	
5,249000e+000	3,184278e+004	
5,250000e+000	3,184277e+004	
5,251000e+000	3,184280e+004	
5,252000e+000	3,184278e+004	
5,253000e+000	3,184276e+004	
5,254000e+000	3,184272e+004	
5,255000e+000	3,184276e+004	
5,256000e+000	3,184276e+004	
5,257000e+000	3,184278e+004	
5,258000e+000	3,184276e+004	
5,259000e+000	3,184277e+004	
5,260000e+000	3,184276e+004	
5,261000e+000	3,184276e+004	
5,262000e+000	3,184275e+004	
5,263000e+000	3,184278e+004	
5,264000e+000	3,184275e+004	
5,265000e+000	3,184276e+004	
5,266000e+000	3,184273e+004	
5,267000e+000	3,184281e+004	
5,268000e+000	3,184277e+004	
5,269000e+000	3,184280e+004	
5,270000e+000	3,184274e+004	
5,271000e+000	3,184275e+004	
5,272000e+000	3,184273e+004	
5,273000e+000	3,184277e+004	
5,274000e+000	3,184276e+004	
5,275000e+000	3,184281e+004	
5,276000e+000	3,184276e+004	
5,277000e+000	3,184276e+004	
5,278000e+000	3,184269e+004	
5,279000e+000	3,184277e+004	
5,280000e+000	3,184276e+004	
5,281000e+000	3,184280e+004	
5,282000e+000	3,184276e+004	
5,283000e+000	3,184278e+004	
5,284000e+000	3,184275e+004	
5,285000e+000	3,184274e+004	
5,286000e+000	3,184273e+004	
5,287000e+000	3,184278e+004	
5,288000e+000	3,184279e+004	
5,289000e+000	3,184277e+004	
5,290000e+000	3,184275e+004	
5,291000e+000	3,184278e+004	
5,292000e+000	3,184278e+004	
5,293000e+000	3,184278e+004	
5,294000e+000	3,184276e+004	
5,295000e+000	3,184276e+004	
5,296000e+000	3,184276e+004	
5,297000e+000	3,184277e+004	
5,298000e+000	3,184276e+004	
5,299000e+000	3,184281e+004	
5,300000e+000	3,184276e+004	
5,301000e+000	3,184277e+004	
5,302000e+000	3,184273e+004	
5,303000e+000	3,184273e+004	
5,304000e+000	3,184275e+004	
5,305000e+000	3,184282e+004	
5,306000e+000	3,184276e+004	
5,307000e+000	3,184275e+004	
5,308000e+000	3,184272e+004	
5,309000e+000	3,184277e+004	
5,310000e+000	3,184275e+004	
5,311000e+000	3,184275e+004	
5,312000e+000	3,184275e+004	
5,313000e+000	3,184277e+004	
5,314000e+000	3,184276e+004	
5,315000e+000	3,184279e+004	
5,316000e+000	3,184279e+004	
5,317000e+000	3,184276e+004	
5,318000e+000	3,184272e+004	
5,319000e+000	3,184271e+004	
5,320000e+000	3,184276e+004	
5,321000e+000	3,184281e+004	
5,322000e+000	3,184282e+004	
5,323000e+000	3,184279e+004	
5,324000e+000	3,184275e+004	
5,325000e+000	3,184276e+004	
5,326000e+000	3,184272e+004	
5,327000e+000	3,184278e+004	
5,328000e+000	3,184281e+004	
5,329000e+000	3,184281e+004	
5,330000e+000	3,184279e+004	
5,331000e+000	3,184275e+004	
5,332000e+000	3,184273e+004	
5,333000e+000	3,184278e+004	
5,334000e+000	3,184276e+004	
5,335000e+000	3,184279e+004	
5,336000e+000	3,184275e+004	
5,337000e+000	3,184278e+004	
5,338000e+000	3,184274e+004	
5,339000e+000	3,184275e+004	
5,340000e+000	3,184277e+004	
5,341000e+000	3,184276e+004	
5,342000e+000	3,184275e+004	
5,343000e+000	3,184273e+004	
5,344000e+000	3,184274e+004	
5,345000e+000	3,184278e+004	
5,346000e+000	3,184276e+004	
5,347000e+000	3,184275e+004	
5,348000e+000	3,184274e+004	
5,349000e+000	3,184273e+004	
5,350000e+000	3,184276e+004	
5,351000e+000	3,184274e+004	
5,352000e+000	3,184276e+004	
5,353000e+000	3,184279e+004	
5,354000e+000	3,184276e+004	
5,355000e+000	3,184271e+004	
5,356000e+000	3,184273e+004	
5,357000e+000	3,184280e+004	
5,358000e+000	3,184279e+004	
5,359000e+000	3,184276e+004	
5,360000e+000	3,184278e+004	
5,361000e+000	3,184274e+004	
5,362000e+000	3,184276e+004	
5,363000e+000	3,184277e+004	
5,364000e+000	3,184276e+004	
5,365000e+000	3,184278e+004	
