Z ==> 5,5:0,001:12
Monter après contact ==> 500
Point de scan après sortir ==> 2000
Temps d'attendre ==> 100
Nombre acquis ==> 1
RF ==> 31842,8036
seuil de Fréquence ==> 0,300

Z	Frequency	Nothing	

5,501000e+000	3,184278e+004	
5,502000e+000	3,184273e+004	
5,503000e+000	3,184275e+004	
5,504000e+000	3,184274e+004	
5,505000e+000	3,184277e+004	
5,506000e+000	3,184273e+004	
5,507000e+000	3,184276e+004	
5,508000e+000	3,184278e+004	
5,509000e+000	3,184278e+004	
5,510000e+000	3,184275e+004	
5,511000e+000	3,184277e+004	
5,512000e+000	3,184279e+004	
5,513000e+000	3,184275e+004	
5,514000e+000	3,184276e+004	
5,515000e+000	3,184276e+004	
5,516000e+000	3,184275e+004	
5,517000e+000	3,184274e+004	
5,518000e+000	3,184277e+004	
5,519000e+000	3,184276e+004	
5,520000e+000	3,184277e+004	
5,521000e+000	3,184276e+004	
5,522000e+000	3,184278e+004	
5,523000e+000	3,184278e+004	
5,524000e+000	3,184276e+004	
5,525000e+000	3,184277e+004	
5,526000e+000	3,184276e+004	
5,527000e+000	3,184272e+004	
5,528000e+000	3,184273e+004	
5,529000e+000	3,184279e+004	
5,530000e+000	3,184275e+004	
5,531000e+000	3,184276e+004	
5,532000e+000	3,184281e+004	
5,533000e+000	3,184279e+004	
5,534000e+000	3,184272e+004	
5,535000e+000	3,184276e+004	
5,536000e+000	3,184278e+004	
5,537000e+000	3,184275e+004	
5,538000e+000	3,184273e+004	
5,539000e+000	3,184274e+004	
5,540000e+000	3,184278e+004	
5,541000e+000	3,184280e+004	
5,542000e+000	3,184278e+004	
5,543000e+000	3,184276e+004	
5,544000e+000	3,184275e+004	
5,545000e+000	3,184281e+004	
5,546000e+000	3,184276e+004	
5,547000e+000	3,184273e+004	
5,548000e+000	3,184274e+004	
5,549000e+000	3,184276e+004	
5,550000e+000	3,184274e+004	
5,551000e+000	3,184275e+004	
5,552000e+000	3,184278e+004	
5,553000e+000	3,184276e+004	
5,554000e+000	3,184278e+004	
5,555000e+000	3,184277e+004	
5,556000e+000	3,184277e+004	
5,557000e+000	3,184274e+004	
5,558000e+000	3,184279e+004	
5,559000e+000	3,184275e+004	
5,560000e+000	3,184271e+004	
5,561000e+000	3,184279e+004	
5,562000e+000	3,184278e+004	
5,563000e+000	3,184274e+004	
5,564000e+000	3,184279e+004	
