Z ==> 0.1:0.001:12
Monter après contact ==> 500
Point de scan après sortir ==> 10000
Temps d'attendre ==> 10
Nombre acquis ==> 1
RF ==> 31834.7282
seuil de Fréquence ==> 0.300

Z	Frequency	Nothing	

Data
1.010000e-001	3.183451e+004	
1.020000e-001	3.183450e+004	
1.030000e-001	3.183451e+004	
1.040000e-001	3.183449e+004	
1.050000e-001	3.183449e+004	
1.060000e-001	3.183449e+004	
1.070000e-001	3.183449e+004	
1.080000e-001	3.183450e+004	
1.090000e-001	3.183450e+004	
1.100000e-001	3.183450e+004	
1.110000e-001	3.183451e+004	
1.120000e-001	3.183450e+004	
1.130000e-001	3.183451e+004	
1.140000e-001	3.183451e+004	
1.150000e-001	3.183451e+004	
1.160000e-001	3.183449e+004	
1.170000e-001	3.183450e+004	
1.180000e-001	3.183449e+004	
1.190000e-001	3.183449e+004	
1.200000e-001	3.183449e+004	
1.210000e-001	3.183451e+004	
1.220000e-001	3.183451e+004	
1.230000e-001	3.183450e+004	
1.240000e-001	3.183451e+004	
1.250000e-001	3.183449e+004	
1.260000e-001	3.183450e+004	
1.270000e-001	3.183449e+004	
1.280000e-001	3.183450e+004	
1.290000e-001	3.183450e+004	
1.300000e-001	3.183450e+004	
1.310000e-001	3.183450e+004	
1.320000e-001	3.183451e+004	
1.330000e-001	3.183450e+004	
1.340000e-001	3.183451e+004	
1.350000e-001	3.183450e+004	
1.360000e-001	3.183451e+004	
1.370000e-001	3.183451e+004	
1.380000e-001	3.183451e+004	
1.390000e-001	3.183451e+004	
1.400000e-001	3.183450e+004	
1.410000e-001	3.183450e+004	
1.420000e-001	3.183449e+004	
1.430000e-001	3.183449e+004	
1.440000e-001	3.183449e+004	
1.450000e-001	3.183449e+004	
1.460000e-001	3.183448e+004	
1.470000e-001	3.183450e+004	
1.480000e-001	3.183450e+004	
1.490000e-001	3.183451e+004	
1.500000e-001	3.183449e+004	
1.510000e-001	3.183451e+004	
1.520000e-001	3.183449e+004	
1.530000e-001	3.183451e+004	
1.540000e-001	3.183449e+004	
1.550000e-001	3.183450e+004	
1.560000e-001	3.183449e+004	
1.570000e-001	3.183451e+004	
1.580000e-001	3.183449e+004	
1.590000e-001	3.183451e+004	
1.600000e-001	3.183449e+004	
1.610000e-001	3.183451e+004	
1.620000e-001	3.183450e+004	
1.630000e-001	3.183452e+004	
1.640000e-001	3.183450e+004	
1.650000e-001	3.183450e+004	
1.660000e-001	3.183449e+004	
1.670000e-001	3.183450e+004	
1.680000e-001	3.183450e+004	
1.690000e-001	3.183450e+004	
1.700000e-001	3.183449e+004	
1.710000e-001	3.183450e+004	
1.720000e-001	3.183450e+004	
1.730000e-001	3.183450e+004	
1.740000e-001	3.183449e+004	
1.750000e-001	3.183450e+004	
1.760000e-001	3.183449e+004	
1.770000e-001	3.183451e+004	
1.780000e-001	3.183448e+004	
1.790000e-001	3.183451e+004	
1.800000e-001	3.183449e+004	
1.810000e-001	3.183448e+004	
1.820000e-001	3.183449e+004	
1.830000e-001	3.183448e+004	
1.840000e-001	3.183448e+004	
1.850000e-001	3.183449e+004	
1.860000e-001	3.183448e+004	
1.870000e-001	3.183448e+004	
1.880000e-001	3.183449e+004	
1.890000e-001	3.183450e+004	
1.900000e-001	3.183447e+004	
1.910000e-001	3.183448e+004	
1.920000e-001	3.183448e+004	
1.930000e-001	3.183449e+004	
1.940000e-001	3.183447e+004	
1.950000e-001	3.183449e+004	
1.960000e-001	3.183447e+004	
1.970000e-001	3.183449e+004	
1.980000e-001	3.183448e+004	
1.990000e-001	3.183449e+004	
2.000000e-001	3.183447e+004	
2.010000e-001	3.183448e+004	
2.020000e-001	3.183448e+004	
2.030000e-001	3.183449e+004	
2.040000e-001	3.183447e+004	
2.050000e-001	3.183448e+004	
2.060000e-001	3.183446e+004	
2.070000e-001	3.183447e+004	
2.080000e-001	3.183445e+004	
2.090000e-001	3.183448e+004	
2.100000e-001	3.183446e+004	
2.110000e-001	3.183448e+004	
2.120000e-001	3.183447e+004	
2.130000e-001	3.183448e+004	
2.140000e-001	3.183447e+004	
2.150000e-001	3.183448e+004	
2.160000e-001	3.183446e+004	
2.170000e-001	3.183447e+004	
2.180000e-001	3.183445e+004	
2.190000e-001	3.183446e+004	
2.200000e-001	3.183446e+004	
2.210000e-001	3.183447e+004	
2.220000e-001	3.183448e+004	
2.230000e-001	3.183448e+004	
2.240000e-001	3.183447e+004	
2.250000e-001	3.183447e+004	
2.260000e-001	3.183445e+004	
2.270000e-001	3.183446e+004	
2.280000e-001	3.183445e+004	
2.290000e-001	3.183447e+004	
2.300000e-001	3.183446e+004	
2.310000e-001	3.183447e+004	
2.320000e-001	3.183446e+004	
2.330000e-001	3.183447e+004	
2.340000e-001	3.183447e+004	
2.350000e-001	3.183447e+004	
2.360000e-001	3.183446e+004	
2.370000e-001	3.183446e+004	
2.380000e-001	3.183446e+004	
2.390000e-001	3.183445e+004	
2.400000e-001	3.183446e+004	
2.410000e-001	3.183446e+004	
2.420000e-001	3.183448e+004	
2.430000e-001	3.183447e+004	
2.440000e-001	3.183447e+004	
2.450000e-001	3.183448e+004	
2.460000e-001	3.183448e+004	
2.470000e-001	3.183448e+004	
2.480000e-001	3.183448e+004	
2.490000e-001	3.183449e+004	
2.500000e-001	3.183448e+004	
2.510000e-001	3.183449e+004	
2.520000e-001	3.183447e+004	
2.530000e-001	3.183448e+004	
2.540000e-001	3.183446e+004	
2.550000e-001	3.183448e+004	
2.560000e-001	3.183447e+004	
2.570000e-001	3.183449e+004	
2.580000e-001	3.183447e+004	
2.590000e-001	3.183449e+004	
2.600000e-001	3.183447e+004	
2.610000e-001	3.183447e+004	
2.620000e-001	3.183448e+004	
2.630000e-001	3.183447e+004	
2.640000e-001	3.183448e+004	
2.650000e-001	3.183448e+004	
2.660000e-001	3.183449e+004	
2.670000e-001	3.183448e+004	
2.680000e-001	3.183449e+004	
2.690000e-001	3.183448e+004	
2.700000e-001	3.183448e+004	
2.710000e-001	3.183448e+004	
2.720000e-001	3.183448e+004	
2.730000e-001	3.183447e+004	
2.740000e-001	3.183447e+004	
2.750000e-001	3.183448e+004	
2.760000e-001	3.183446e+004	
2.770000e-001	3.183448e+004	
2.780000e-001	3.183447e+004	
2.790000e-001	3.183448e+004	
2.800000e-001	3.183448e+004	
2.810000e-001	3.183448e+004	
2.820000e-001	3.183447e+004	
2.830000e-001	3.183447e+004	
2.840000e-001	3.183448e+004	
2.850000e-001	3.183448e+004	
2.860000e-001	3.183449e+004	
2.870000e-001	3.183448e+004	
2.880000e-001	3.183449e+004	
2.890000e-001	3.183448e+004	
2.900000e-001	3.183447e+004	
2.910000e-001	3.183446e+004	
2.920000e-001	3.183448e+004	
2.930000e-001	3.183448e+004	
2.940000e-001	3.183448e+004	
2.950000e-001	3.183447e+004	
2.960000e-001	3.183448e+004	
2.970000e-001	3.183446e+004	
2.980000e-001	3.183448e+004	
2.990000e-001	3.183446e+004	
3.000000e-001	3.183448e+004	
3.010000e-001	3.183446e+004	
3.020000e-001	3.183448e+004	
3.030000e-001	3.183447e+004	
3.040000e-001	3.183448e+004	
3.050000e-001	3.183447e+004	
3.060000e-001	3.183448e+004	
3.070000e-001	3.183446e+004	
3.080000e-001	3.183446e+004	
3.090000e-001	3.183446e+004	
3.100000e-001	3.183447e+004	
3.110000e-001	3.183447e+004	
3.120000e-001	3.183448e+004	
3.130000e-001	3.183447e+004	
3.140000e-001	3.183447e+004	
3.150000e-001	3.183447e+004	
3.160000e-001	3.183447e+004	
3.170000e-001	3.183448e+004	
3.180000e-001	3.183447e+004	
3.190000e-001	3.183447e+004	
3.200000e-001	3.183446e+004	
3.210000e-001	3.183446e+004	
3.220000e-001	3.183447e+004	
3.230000e-001	3.183446e+004	
3.240000e-001	3.183447e+004	
3.250000e-001	3.183446e+004	
3.260000e-001	3.183447e+004	
3.270000e-001	3.183446e+004	
3.280000e-001	3.183448e+004	
3.290000e-001	3.183446e+004	
3.300000e-001	3.183448e+004	
3.310000e-001	3.183446e+004	
3.320000e-001	3.183447e+004	
3.330000e-001	3.183446e+004	
3.340000e-001	3.183446e+004	
3.350000e-001	3.183446e+004	
3.360000e-001	3.183446e+004	
3.370000e-001	3.183447e+004	
3.380000e-001	3.183447e+004	
3.390000e-001	3.183448e+004	
